Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR	type	Term
INTERPRO	4	4.761904762	0.003094438	171653, 176625, 181504, 176347	73	60	14805	13.52054795	0.561500563	0.771040322	0.771040322	M	RNaseH_sf
INTERPRO	4	4.761904762	0.005797296	171653, 176625, 181504, 176347	73	75	14805	10.81643836	0.787022328	0.771040322	0.771040322	M	RNaseH-like_sf
INTERPRO	3	3.571428571	0.009901091	177515, 177701, 178388	73	31	14805	19.62660186	0.929123411	0.856226695	0.856226695	M	Znf_LIM
INTERPRO	2	2.380952381	0.014519804	173226, 178337	73	3	14805	135.2054795	0.979566548	0.856226695	0.856226695	M	RNase_Zc3h12a_2
INTERPRO	2	2.380952381	0.019313384	178045, 172474	73	4	14805	101.4041096	0.994414706	0.856226695	0.856226695	M	PFD_beta-like
INTERPRO	2	2.380952381	0.019313384	178078, 179328	73	4	14805	101.4041096	0.994414706	0.856226695	0.856226695	M	Gelsolin-like_dom
INTERPRO	3	3.571428571	0.03549555	4926960, 180603, 181177	73	61	14805	9.974174714	0.999933177	1	1	M	SH3_domain
INTERPRO	3	3.571428571	0.038742458	4926960, 180603, 181177	73	64	14805	9.506635274	0.999972749	1	1	M	SH3-like_dom_sf
INTERPRO	2	2.380952381	0.05223065	178078, 179328	73	11	14805	36.87422167	0.999999365	1	1	M	ADF-H/Gelsolin-like_dom_sf
INTERPRO	2	2.380952381	0.056843289	173976, 3565708	73	12	14805	33.80136986	0.999999826	1	1	M	Lamin_tail_dom_sf
INTERPRO	3	3.571428571	0.061682891	175130, 177927, 179778	73	83	14805	7.330417561	0.999999956	1	1	M	Ankyrin_rpt
INTERPRO	3	3.571428571	0.068331753	175130, 177927, 179778	73	88	14805	6.913916563	0.999999993	1	1	M	Ankyrin_rpt-contain_sf
INTERPRO	2	2.380952381	0.075073507	177617, 181428	73	16	14805	25.3510274	0.999999999	1	1	M	Znf_FYVE
INTERPRO	2	2.380952381	0.084057866	177617, 181428	73	18	14805	22.53424658	1	1	1	M	Znf_FYVE-rel
INTERPRO	2	2.380952381	0.092956155	171653, 181504	73	20	14805	20.28082192	1	1	1	M	Piwi
INTERPRO	2	2.380952381	0.097373277	171653, 181504	73	21	14805	19.31506849	1	1	1	M	PAZ_dom
INTERPRO	16	3.382663848	1.04E-22	179233, 178055, 178066, 179264, 179341, 179260, 178050, 191671, 191680, 188792, 191667, 177522, 191677, 175027, 175032, 179267	430	16	14805	34.43023256	1.13E-19	3.77E-20	3.68E-20	P	Histone_H4_CS
INTERPRO	16	3.382663848	1.04E-22	179233, 178055, 178066, 179264, 179341, 179260, 178050, 191671, 191680, 188792, 191667, 177522, 191677, 175027, 175032, 179267	430	16	14805	34.43023256	1.13E-19	3.77E-20	3.68E-20	P	CENP-T/H4_C
INTERPRO	16	3.382663848	1.04E-22	179233, 178055, 178066, 179264, 179341, 179260, 178050, 191671, 191680, 188792, 191667, 177522, 191677, 175027, 175032, 179267	430	16	14805	34.43023256	1.13E-19	3.77E-20	3.68E-20	P	Histone_H4
INTERPRO	23	4.862579281	4.59E-16	177054, 175083, 176292, 176061, 174417, 171743, 174418, 174901, 172615, 171888, 172347, 172546, 175944, 172414, 190611, 179855, 173432, 178469, 176138, 179897, 172223, 172361, 178970	430	80	14805	9.89869186	4.82E-13	9.98E-14	9.74E-14	P	Helicase_ATP-bd
INTERPRO	23	4.862579281	4.59E-16	177054, 175083, 176292, 176061, 174417, 171743, 174418, 174901, 172615, 171888, 172347, 172546, 175944, 172414, 190611, 179855, 173432, 178469, 176138, 179897, 172223, 172361, 178970	430	80	14805	9.89869186	4.82E-13	9.98E-14	9.74E-14	P	Helicase_C
INTERPRO	19	4.016913319	1.60E-14	177054, 175083, 176292, 176061, 174417, 171743, 174418, 174901, 172615, 171888, 172546, 172414, 190611, 179855, 173432, 178469, 179897, 172223, 172361	430	57	14805	11.47674419	1.74E-11	2.89E-12	2.82E-12	P	DEAD/DEAH_box_helicase_dom
INTERPRO	46	9.725158562	3.32E-11	179321, 175083, 174590, 176292, 172624, 174329, 174901, 171696, 174127, 173874, 174546, 172347, 172546, 174669, 175851, 190611, 179537, 179855, 173432, 179678, 178469, 172267, 174126, 179897, 172223, 172361, 171792, 176563, 177054, 172182, 176061, 171749, 186322, 174417, 171743, 174418, 172615, 171888, 175944, 171601, 179748, 172414, 176138, 175643, 178851, 178970	430	514	14805	3.081304859	3.61E-08	5.15E-09	5.03E-09	P	P-loop_NTPase
