Category	Term	Count	%	PValue	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR	type
UP_SEQ_FEATURE	COMPBIAS:Polar residues	41	48.80952381	5.41E-10	70	3731	16078	2.524018838	7.57E-08	7.57E-08	7.41E-08	M
UP_SEQ_FEATURE	REGION:Disordered	56	66.66666667	3.27E-08	70	7614	16078	1.689309167	4.58E-06	2.29E-06	2.24E-06	M
UP_SEQ_FEATURE	COMPBIAS:Pro residues	14	16.66666667	1.28E-06	70	597	16078	5.386264657	1.79E-04	5.97E-05	5.84E-05	M
UP_SEQ_FEATURE	COMPBIAS:Basic and acidic residues	28	33.33333333	9.07E-05	70	3079	16078	2.088730107	0.01261743	0.003174283	0.003106262	M
UP_SEQ_FEATURE	DOMAIN:LIM zinc-binding	3	3.571428571	0.003280804	70	20	16078	34.45285714	0.368759099	0.091862521	0.089894038	M
UP_SEQ_FEATURE	DOMAIN:Zc3h12a-like Ribonuclease NYN	2	2.380952381	0.012820356	70	3	16078	153.1238095	0.835764582	0.299141634	0.292731456	M
UP_SEQ_FEATURE	DOMAIN:SH3	3	3.571428571	0.027379345	70	60	16078	11.48428571	0.979484205	0.547586901	0.535852896	M
UP_SEQ_FEATURE	REPEAT:ANK	3	3.571428571	0.03355367	70	67	16078	10.28443497	0.9915883	0.587189222	0.574606596	M
UP_SEQ_FEATURE	DOMAIN:FYVE-type	2	2.380952381	0.050317411	70	12	16078	38.28095238	0.999273916	0.782715281	0.765942811	M
UP_SEQ_FEATURE	DOMAIN:PAZ	2	2.380952381	0.082467476	70	20	16078	22.96857143	0.999994152	1	0.985611511	M
UP_SEQ_FEATURE	DOMAIN:Piwi	2	2.380952381	0.082467476	70	20	16078	22.96857143	0.999994152	1	0.985611511	M
UP_SEQ_FEATURE	REGION:Disordered	320	67.65327696	5.61E-42	400	7614	16078	1.689309167	3.47E-39	3.47E-39	3.40E-39	P
UP_SEQ_FEATURE	DOMAIN:Helicase C-terminal	23	4.862579281	1.85E-17	400	80	16078	11.5560625	1.15E-14	5.73E-15	5.61E-15	P
UP_SEQ_FEATURE	COMPBIAS:Basic and acidic residues	147	31.0782241	6.83E-17	400	3079	16078	1.919020786	6.87E-14	1.41E-14	1.38E-14	P
UP_SEQ_FEATURE	DOMAIN:Helicase ATP-binding	22	4.651162791	4.94E-16	400	82	16078	10.78402439	2.75E-13	7.64E-14	7.48E-14	P
UP_SEQ_FEATURE	MOTIF:Q motif	13	2.748414376	2.68E-12	400	30	16078	17.41783333	1.66E-09	3.31E-10	3.24E-10	P
UP_SEQ_FEATURE	COMPBIAS:Polar residues	144	30.44397463	5.48E-09	400	3731	16078	1.551348164	3.39E-06	5.65E-07	5.53E-07	P
UP_SEQ_FEATURE	MOTIF:DEAD box	6	1.268498943	3.75E-06	400	11	16078	21.92454545	0.002318311	3.19E-04	3.13E-04	P
UP_SEQ_FEATURE	DOMAIN:PCI	7	1.479915433	4.64E-06	400	19	16078	14.80868421	0.002868778	3.19E-04	3.13E-04	P
UP_SEQ_FEATURE	DOMAIN:DEAD-box RNA helicase Q	7	1.479915433	4.64E-06	400	19	16078	14.80868421	0.002868778	3.19E-04	3.13E-04	P
UP_SEQ_FEATURE	DOMAIN:Sm	6	1.268498943	1.05E-04	400	20	16078	12.0585	0.062703977	0.006475273	0.006339282	P
UP_SEQ_FEATURE	COMPBIAS:Acidic residues	30	6.342494715	1.70E-04	400	562	16078	2.145640569	0.099729315	0.00955008	0.009349513	P
UP_SEQ_FEATURE	DOMAIN:RRM	10	2.114164905	6.80E-04	400	97	16078	4.143814433	0.343589111	0.035068768	0.034332267	P
UP_SEQ_FEATURE	DOMAIN:PAZ	5	1.057082452	0.001320509	400	20	16078	10.04875	0.558658045	0.058385366	0.057159179	P
UP_SEQ_FEATURE	MOTIF:DEAH box	5	1.057082452	0.001320509	400	20	16078	10.04875	0.558658045	0.058385366	0.057159179	P
UP_SEQ_FEATURE	ZN_FING:C3H1-type 1	4	0.845665962	0.002157752	400	11	16078	14.61636364	0.737391703	0.08347804	0.081724867	P
UP_SEQ_FEATURE	ZN_FING:C3H1-type 2	4	0.845665962	0.002157752	400	11	16078	14.61636364	0.737391703	0.08347804	0.081724867	P
UP_SEQ_FEATURE	DOMAIN:CP-type G	3	0.634249471	0.003565874	400	4	16078	30.14625	0.890433226	0.129839782	0.127112937	P
UP_SEQ_FEATURE	DOMAIN:CSD	3	0.634249471	0.005845681	400	5	16078	24.117	0.973459782	0.201026468	0.196804587	P
UP_SEQ_FEATURE	REPEAT:Pumilio 1	3	0.634249471	0.00862505	400	6	16078	20.0975	0.995308784	0.242677551	0.23758093	P
UP_SEQ_FEATURE	REPEAT:Pumilio 2	3	0.634249471	0.00862505	400	6	16078	20.0975	0.995308784	0.242677551	0.23758093	P
UP_SEQ_FEATURE	REPEAT:Pumilio 4	3	0.634249471	0.00862505	400	6	16078	20.0975	0.995308784	0.242677551	0.23758093	P
UP_SEQ_FEATURE	REPEAT:Pumilio 3	3	0.634249471	0.00862505	400	6	16078	20.0975	0.995308784	0.242677551	0.23758093	P
UP_SEQ_FEATURE	DOMAIN:KH	3	0.634249471	0.011877909	400	7	16078	17.22642857	0.999386567	0.30635106	0.299917193	P
UP_SEQ_FEATURE	DOMAIN:PUM-HD	3	0.634249471	0.011877909	400	7	16078	17.22642857	0.999386567	0.30635106	0.299917193	P
UP_SEQ_FEATURE	DOMAIN:Piwi	4	0.845665962	0.012636403	400	20	16078	8.039	0.999618643	0.312877335	0.306306406	P
UP_SEQ_FEATURE	DOMAIN:H15	3	0.634249471	0.015579163	400	8	16078	15.073125	0.999939895	0.370903909	0.363114328	P
UP_SEQ_FEATURE	DOMAIN:DRBM	3	0.634249471	0.019704667	400	9	16078	13.39833333	0.999995534	0.451747743	0.442260311	P
UP_SEQ_FEATURE	DOMAIN:Tudor	3	0.634249471	0.024231195	400	10	16078	12.0585	0.999999745	0.53568249	0.524432292	P
UP_SEQ_FEATURE	DOMAIN:MPN	3	0.634249471	0.029136405	400	11	16078	10.96227273	0.999999989	0.621911531	0.608850384	P
UP_SEQ_FEATURE	DOMAIN:Tr-type G	3	0.634249471	0.034398812	400	12	16078	10.04875	1	0.709762148	0.694855996	P
UP_SEQ_FEATURE	REPEAT:Solcar	4	0.845665962	0.040818789	400	31	16078	5.186451613	1	0.815059041	0.797941484	P
UP_SEQ_FEATURE	REPEAT:ARM 6	2	0.422832981	0.049018685	400	2	16078	40.195	1	0.820069345	0.802846564	P
UP_SEQ_FEATURE	DOMAIN:Phosphorylase b kinase regulatory subunit alpha/beta C-terminal	2	0.422832981	0.049018685	400	2	16078	40.195	1	0.820069345	0.802846564	P
UP_SEQ_FEATURE	DOMAIN:DFDF	2	0.422832981	0.049018685	400	2	16078	40.195	1	0.820069345	0.802846564	P
UP_SEQ_FEATURE	DOMAIN:GH15-like	2	0.422832981	0.049018685	400	2	16078	40.195	1	0.820069345	0.802846564	P
UP_SEQ_FEATURE	SITE:May be required for interaction with erh-2	2	0.422832981	0.049018685	400	2	16078	40.195	1	0.820069345	0.802846564	P
UP_SEQ_FEATURE	REPEAT:ARM 7	2	0.422832981	0.049018685	400	2	16078	40.195	1	0.820069345	0.802846564	P
UP_SEQ_FEATURE	DOMAIN:SH3	5	1.057082452	0.061552334	400	60	16078	3.349583333	1	1	0.980582524	P
UP_SEQ_FEATURE	ZN_FING:CCHC-type 4	2	0.422832981	0.072621667	400	3	16078	26.79666667	1	1	0.980582524	P
UP_SEQ_FEATURE	DOMAIN:KOW	2	0.422832981	0.072621667	400	3	16078	26.79666667	1	1	0.980582524	P
UP_SEQ_FEATURE	DOMAIN:HTH La-type RNA-binding	2	0.422832981	0.072621667	400	3	16078	26.79666667	1	1	0.980582524	P
UP_SEQ_FEATURE	ZN_FING:CCHC-type 3	2	0.422832981	0.072621667	400	3	16078	26.79666667	1	1	0.980582524	P
UP_SEQ_FEATURE	DOMAIN:R3H	2	0.422832981	0.072621667	400	3	16078	26.79666667	1	1	0.980582524	P
UP_SEQ_FEATURE	DOMAIN:PUA	2	0.422832981	0.072621667	400	3	16078	26.79666667	1	1	0.980582524	P
UP_SEQ_FEATURE	MOTIF:Di-lysine motif	2	0.422832981	0.095640264	400	4	16078	20.0975	1	1	0.980582524	P
UP_SEQ_FEATURE	DOMAIN:IBB	2	0.422832981	0.095640264	400	4	16078	20.0975	1	1	0.980582524	P
UP_SEQ_FEATURE	REPEAT:ARM 5	2	0.422832981	0.095640264	400	4	16078	20.0975	1	1	0.980582524	P
UP_SEQ_FEATURE	DOMAIN:S4 RNA-binding	2	0.422832981	0.095640264	400	4	16078	20.0975	1	1	0.980582524	P
UP_SEQ_FEATURE	REPEAT:ARM 4	2	0.422832981	0.095640264	400	4	16078	20.0975	1	1	0.980582524	P
UP_SEQ_FEATURE	COMPBIAS:Polar residues	22	52.38095238	1.68E-06	35	3731	16078	2.708703144	1.18E-04	1.18E-04	1.16E-04	PM
UP_SEQ_FEATURE	REGION:Disordered	27	64.28571429	5.15E-04	35	7614	16078	1.628976697	0.035386522	0.01763273	0.017380833	PM
UP_SEQ_FEATURE	COMPBIAS:Basic and acidic residues	16	38.0952381	7.56E-04	35	3079	16078	2.387120122	0.051542394	0.01763273	0.017380833	PM
UP_SEQ_FEATURE	DOMAIN:RRM	4	9.523809524	0.001112214	35	97	16078	18.94315169	0.074941484	0.019463739	0.019185685	PM
UP_SEQ_FEATURE	COMPBIAS:Pro residues	5	11.9047619	0.036156357	35	597	16078	3.847331898	0.924061659	0.506189001	0.498957729	PM
UP_SEQ_FEATURE	DOMAIN:K Homology	2	4.761904762	0.043508362	35	21	16078	43.74965986	0.955569375	0.50759756	0.500346166	PM
UP_SEQ_FEATURE	REGION:Disordered	45	75	2.62E-08	53	7614	16078	1.79289888	2.93E-06	2.93E-06	2.93E-06	PZ
UP_SEQ_FEATURE	COMPBIAS:Polar residues	22	36.66666667	0.004231898	53	3731	16078	1.788766227	0.378101493	0.236986315	0.236986315	PZ
UP_SEQ_FEATURE	DOMAIN:SMC hinge	2	3.333333333	0.016068887	53	5	16078	121.3433962	0.83705325	0.459929762	0.459929762	PZ
UP_SEQ_FEATURE	REPEAT:WD	3	5	0.018201493	53	64	16078	14.21992925	0.872207565	0.459929762	0.459929762	PZ
UP_SEQ_FEATURE	ACT_SITE:Proton acceptor	5	8.333333333	0.020532579	53	324	16078	4.681458188	0.902078182	0.459929762	0.459929762	PZ
UP_SEQ_FEATURE	DOMAIN:Helicase C-terminal	3	5	0.027612132	53	80	16078	11.3759434	0.95654622	0.462412867	0.462412867	PZ
UP_SEQ_FEATURE	DOMAIN:Helicase ATP-binding	3	5	0.028900804	53	82	16078	11.09848136	0.962543898	0.462412867	0.462412867	PZ
UP_SEQ_FEATURE	COMPBIAS:Basic and acidic residues	16	26.66666667	0.059494286	53	3079	16078	1.576400081	0.998961322	0.832919998	0.832919998	PZ
UP_SEQ_FEATURE	DOMAIN:AGC-kinase C-terminal	2	3.333333333	0.071847308	53	23	16078	26.37899918	0.999763748	0.894099831	0.894099831	PZ
